url,car_id,year,brand,model,price_usd,price_type,mileage_km,transmission,color,body_type,fuel,drive,engine_l
https://auto.am/offer/3191908,3191908,2014,BMW,X5,189052,unknown,128547,Վարիատոր,"Կանաչ ""\\u053f\u0561\u0576\u0561\u0579"" Վիճակը Գերազանց Սրահի գույնը Սև \""\u054d\u0587\"" Շարժիչի ծավալը 2",Սեդան,Էլեկտրո,Առջևի,5.3
https://auto.am/offer/3201642,3201642,1999,Cadillac,XT6,295646,fixed,342118,Ռոբոտ,"Կապույտ ""\\u053f\u0561\u057a\u0578\u0582\u0575\u057f"" Վիճակը Լավ Օպցիաներ ABS",Սեդան,Բենզին,Լրիվ,3.5
https://auto.am/offer/3188138,3188138,2003,Acura,RDX,36437,contractual,181044,Մեխանիկական,"Արծաթագույն ""\\u0531\u0580\u056e\u0561\u0569\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Նորմալ Լրացուցիչ Meqenan idealakan vichakum e texadrvac e od gaz",Սեդան,Բենզին,Լրիվ,
https://auto.am/offer/3193401,3193401,1997,Lexus,RX 300,29759,fixed,265111,Ռոբոտ,"Արծաթագույն ""\\u0531\u0580\u056e\u0561\u0569\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Նոր Լրացուցիչ Meqenan idealakan vichakum e texadrvac e od gaz",Սեդան,Դիզել,Հետևի,6.0
https://auto.am/offer/3210426,3210426,2018,Toyota,Funcargo,28309,unknown,312216,Ավտոմատ,"Կարմիր ""\\u053f\u0561\u0580\u0574\u056b\u0580"" Վիճակը Նորմալ Լրացուցիչ Նայել մեր մյուս հայտարարությունները",Սեդան,Էլեկտրո,Առջևի,1.0
https://auto.am/offer/3210471,3210471,2005,Changan,Uni-V,12207,fixed,304632,,"Սև ""\\u054d\u0587"" Վիճակը Լավ Լրացուցիչ Meqenan idealakan vichakum e texadrvac e od gaz",Սեդան,Էլեկտրո,Լրիվ,5.3
https://auto.am/offer/3195445,3195445,2017,Audi,A4,20337,contractual,125464,Վարիատոր,"Շագանակագույն ""\\u0547\u0561\u0563\u0561\u0576\u0561\u056f\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Նորմալ Լրացուցիչ Meqenan idealakan vichakum e texadrvac e od gaz",Սեդան,Էլեկտրո,Լրիվ,2.5
https://auto.am/offer/3184643,3184643,2014,JAC,J7,121181,contractual,346881,Մեխանիկական,"Դեղին ""\\u0534\u0565\u0572\u056b\u0576"" Վիճակը Գերազանց Սրահի գույնը Սև \""\u054d\u0587\"" Շարժիչի ծավալը 2",Սեդան,Էլեկտրո,Հետևի,3.0
https://auto.am/offer/3205467,3205467,2006,BMW,745,29630,fixed,23922,Ռոբոտ,"Արծաթագույն ""\\u0531\u0580\u056e\u0561\u0569\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Նոր Սրահի գույնը Սև \""\u054d\u0587\"" Շարժիչի ծավալը 2",Սեդան,Հիբրիդ,,3.0
https://auto.am/offer/3188223,3188223,2008,Honda,Elysion,11403,fixed,123874,Ռոբոտ,"Մոխրագույն ""\\u0544\u0578\u056d\u0580\u0561\u0563\u0578\u0582\u0575\u0576"" Վիճակը Վթարված Լրացուցիչ Վթարված չի եղել",Սեդան,Գազ,,
